Na:Bi,F:Bi,Crystal_Type
1.0,8,0
8.0,4,1
12.0,6,0
8.0,16,0
2.0,16,1
24.0,16,0
12.0,5,0
0.5,4,0
2.0,4,0
0.5,12,0
3.0,3,0
4.0,5,1
1.0,24,0
4.0,2,0
3.0,12,0
0.5,5,0
1.0,5,0
2.0,8,1
4.0,24,0
24.0,12,0
12.0,24,0
4.0,3,0
3.0,4,0
0.5,16,0
8.0,24,0
12.0,16,0
3.0,6,1
4.0,6,1
0.5,6,0
24.0,3,0
2.0,6,1
12.0,8,0
3.0,24,0
12.0,2,0
0.5,3,0
24.0,4,1
4.0,16,0
1.0,16,0
2.0,12,1
24.0,8,0
4.0,4,1
1.0,32,0
8.0,3,0
2.0,24,0
8.0,8,0
12.0,4,1
4.0,8,0
0.5,32,0
3.0,5,1
24.0,6,0
3.0,16,0
24.0,2,0
1.0,6,0
4.0,12,0
8.0,2,0
1.0,3,0
0.5,8,0
12.0,3,0
2.0,3,0
1.0,12,0
3.0,32,0
24.0,5,0
2.0,5,0
0.5,24,0
1.0,4,0
8.0,12,0
8.0,5,1
8.0,6,1
24.0,24,0
3.0,8,1
12.0,12,0
2.0,32,0
