Class,FPR,TPR,AUC
0,0.0,0.0,1.0
0,0.0,0.05714285714285714,1.0
0,0.0,0.11428571428571428,1.0
0,0.0,0.22857142857142856,1.0
0,0.0,0.2857142857142857,1.0
0,0.0,1.0,1.0
0,1.0,1.0,1.0
1,0.0,0.0,1.0
1,0.0,0.06666666666666667,1.0
1,0.0,1.0,1.0
1,0.6097560975609756,1.0,1.0
1,0.6585365853658537,1.0,1.0
1,0.7804878048780488,1.0,1.0
1,0.8292682926829268,1.0,1.0
1,0.8536585365853658,1.0,1.0
1,1.0,1.0,1.0
2,0.0,0.0,1.0
2,0.0,0.16666666666666666,1.0
2,0.0,1.0,1.0
2,0.28,1.0,1.0
2,0.36,1.0,1.0
2,0.4,1.0,1.0
2,0.44,1.0,1.0
2,0.54,1.0,1.0
2,1.0,1.0,1.0
