Na:Bi,F:Bi,Na:Bi/F:Bi,Na:Bi+F:Bi,Na:Bi-F:Bi,GeometricMean,Na:Bi^2,Na:Bi F:Bi,F:Bi^2,Na:Bi^3,Na:Bi^2 F:Bi,Na:Bi F:Bi^2,F:Bi^3,Crystal_Type
24.0,24,0.999999958333335,48.0,0.0,24.0,576.0,576.0,576.0,13824.0,13824.0,13824.0,13824.0,0
4.0,16,0.24999998437500096,20.0,-12.0,8.0,16.0,64.0,256.0,64.0,256.0,1024.0,4096.0,0
0.5,12,0.04166666319444474,12.5,-11.5,2.449489742783178,0.25,6.0,144.0,0.125,3.0,72.0,1728.0,0
2.0,5,0.399999920000016,7.0,-3.0,3.1622776601683795,4.0,10.0,25.0,8.0,20.0,50.0,125.0,0
3.0,5,0.599999880000024,8.0,-2.0,3.872983346207417,9.0,15.0,25.0,27.0,45.0,75.0,125.0,1
24.0,12,1.9999998333333473,36.0,12.0,16.97056274847714,576.0,288.0,144.0,13824.0,6912.0,3456.0,1728.0,0
12.0,3,3.999998666667111,15.0,9.0,6.0,144.0,36.0,9.0,1728.0,432.0,108.0,27.0,0
12.0,4,2.9999992500001875,16.0,8.0,6.928203230275509,144.0,48.0,16.0,1728.0,576.0,192.0,64.0,1
4.0,32,0.12499999609375013,36.0,-28.0,11.313708498984761,16.0,128.0,1024.0,64.0,512.0,4096.0,32768.0,0
8.0,32,0.24999999218750027,40.0,-24.0,16.0,64.0,256.0,1024.0,512.0,2048.0,8192.0,32768.0,0
3.0,8,0.3749999531250059,11.0,-5.0,4.898979485566356,9.0,24.0,64.0,27.0,72.0,192.0,512.0,1
8.0,4,1.999999500000125,12.0,4.0,5.656854249492381,64.0,32.0,16.0,512.0,256.0,128.0,64.0,1
1.0,12,0.08333332638888948,13.0,-11.0,3.4641016151377544,1.0,12.0,144.0,1.0,12.0,144.0,1728.0,0
2.0,8,0.24999996875000394,10.0,-6.0,4.0,4.0,16.0,64.0,8.0,32.0,128.0,512.0,1
2.0,3,0.6666664444445185,5.0,-1.0,2.449489742783178,4.0,6.0,9.0,8.0,12.0,18.0,27.0,2
4.0,8,0.4999999375000079,12.0,-4.0,5.656854249492381,16.0,32.0,64.0,64.0,128.0,256.0,512.0,0
0.5,3,0.16666661111112963,3.5,-2.5,1.224744871391589,0.25,1.5,9.0,0.125,0.75,4.5,27.0,2
12.0,12,0.9999999166666736,24.0,0.0,12.0,144.0,144.0,144.0,1728.0,1728.0,1728.0,1728.0,0
0.5,5,0.099999980000004,5.5,-4.5,1.5811388300841898,0.25,2.5,25.0,0.125,1.25,12.5,125.0,2
2.0,6,0.33333327777778704,8.0,-4.0,3.4641016151377544,4.0,12.0,36.0,8.0,24.0,72.0,216.0,1
8.0,6,1.3333331111111482,14.0,2.0,6.928203230275509,64.0,48.0,36.0,512.0,384.0,288.0,216.0,0
0.5,32,0.015624999511718767,32.5,-31.5,4.0,0.25,16.0,1024.0,0.125,8.0,512.0,32768.0,0
24.0,16,1.4999999062500058,40.0,8.0,19.595917942265423,576.0,384.0,256.0,13824.0,9216.0,6144.0,4096.0,0
1.0,6,0.16666663888889352,7.0,-5.0,2.449489742783178,1.0,6.0,36.0,1.0,6.0,36.0,216.0,0
1.0,3,0.33333322222225925,4.0,-2.0,1.7320508075688772,1.0,3.0,9.0,1.0,3.0,9.0,27.0,0
