Scenario,FE_Degree,Best Model Type,Robust CV Mean F1,Robust CV Std F1,Train_Accuracy,Train_Macro_Avg_Precision,Train_Macro_Avg_Recall,Train_Macro_Avg_F1,Train_Weighted_Avg_Precision,Train_Weighted_Avg_Recall,Train_Weighted_Avg_F1,Test_Accuracy,Test_Macro_Avg_Precision,Test_Macro_Avg_Recall,Test_Macro_Avg_F1,Test_Weighted_Avg_Precision,Test_Weighted_Avg_Recall,Test_Weighted_Avg_F1
T=20_and_120,1,Decision Tree,0.901752912,0.078743056,0.983333333,0.96875,0.988888889,0.97825299,0.984375,0.983333333,0.983508518,0.966666667,0.979166667,0.928571429,0.950900164,0.968055556,0.966666667,0.965739225
T=20_and_120,1,Random Forest,0.893494858,0.052737116,0.958333333,0.928571429,0.972222222,0.947252747,0.964285714,0.958333333,0.959340659,0.866666667,0.80952381,0.863354037,0.829545455,0.885714286,0.866666667,0.871969697
T=20_and_120,1,Gradient Boosting,0.872894,0.079848654,0.966666667,0.965838509,0.944444444,0.95452823,0.966614907,0.966666667,0.966275104,0.933333333,0.906832298,0.906832298,0.906832298,0.933333333,0.933333333,0.933333333
T=20_and_120,2,Random Forest,0.89841663,0.083278041,0.95,0.916666667,0.966666667,0.937304075,0.958333333,0.95,0.951410658,0.866666667,0.80952381,0.863354037,0.829545455,0.885714286,0.866666667,0.871969697
T=20_and_120,2,Gradient Boosting,0.87701607,0.072881988,0.975,0.962123958,0.972222222,0.967029948,0.975444001,0.975,0.975135086,0.9,0.852272727,0.885093168,0.866666667,0.906818182,0.9,0.902222222
T=20_and_120,2,AdaBoost,0.864383016,0.076949027,0.958333333,0.933646813,0.961111111,0.946193167,0.96107628,0.958333333,0.958972289,0.9,0.852272727,0.885093168,0.866666667,0.906818182,0.9,0.902222222
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Scenario,T=20_and_120,T=20_and_120,T=20_and_120,T=20_and_120,T=20_and_120,T=20_and_120,,,,,,,,,,,,
FE_Degree,1,1,1,2,2,2,,,,,,,,,,,,
Best Model Type,Decision Tree,Random Forest,Gradient Boosting,Random Forest,Gradient Boosting,AdaBoost,,,,,,,,,,,,
Robust CV Mean F1,0.90,0.89,0.87,0.90,0.88,0.86,,,,,,,,,,,,
Robust CV Std F1,0.08,0.05,0.08,0.08,0.07,0.08,,,,,,,,,,,,
Train_Accuracy,0.98,0.96,0.97,0.95,0.98,0.96,,,,,,,,,,,,
Train_Macro_Avg_Precision,0.97,0.93,0.97,0.92,0.96,0.93,,,,,,,,,,,,
Train_Macro_Avg_Recall,0.99,0.97,0.94,0.97,0.97,0.96,,,,,,,,,,,,
Train_Macro_Avg_F1,0.98,0.95,0.95,0.94,0.97,0.95,,,,,,,,,,,,
Train_Weighted_Avg_Precision,0.98,0.96,0.97,0.96,0.98,0.96,,,,,,,,,,,,
Train_Weighted_Avg_Recall,0.98,0.96,0.97,0.95,0.98,0.96,,,,,,,,,,,,
Train_Weighted_Avg_F1,0.98,0.96,0.97,0.95,0.98,0.96,,,,,,,,,,,,
Test_Accuracy,0.97,0.87,0.93,0.87,0.90,0.90,,,,,,,,,,,,
Test_Macro_Avg_Precision,0.98,0.81,0.91,0.81,0.85,0.85,,,,,,,,,,,,
Test_Macro_Avg_Recall,0.93,0.86,0.91,0.86,0.89,0.89,,,,,,,,,,,,
Test_Macro_Avg_F1,0.95,0.83,0.91,0.83,0.87,0.87,,,,,,,,,,,,
Test_Weighted_Avg_Precision,0.97,0.89,0.93,0.89,0.91,0.91,,,,,,,,,,,,
Test_Weighted_Avg_Recall,0.97,0.87,0.93,0.87,0.90,0.90,,,,,,,,,,,,
Test_Weighted_Avg_F1,0.97,0.87,0.93,0.87,0.90,0.90,,,,,,,,,,,,
